web-scraper-order,web-scraper-start-url,MatchLink,MatchLink-href,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
"1607603374-148","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/7845/19350","Wladimir Klitschko","Salvador Maciel","won KO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","8","0","0","",".000
points",".000
points","orthodox","6′ 2″   /   188cm","","72″   /   183cm","21","11","0","","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1"
"1607603426-164","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8529/12985","Wladimir Klitschko","Ross Puritty","won TKO","orthodox","22","6′ 6″   /   198cm","81″   /   206cm","24","0","0","21","","","31","orthodox","80″   /   203cm","6′ 3″   /   191cm","24","13","1","21","Wladimir Klitschko"
"1607603364-145","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/7710/11559","Wladimir Klitschko","Mark Young","won RTD","6′ 6″   /   198cm","orthodox","81″   /   206cm","","5","0","0","","25.73
points",".002
points","orthodox","6′ 1″   /   185cm","","72″   /   183cm","15","33","1","","Wladimir Klitschko
    
      
      
    
                    
won RTD
        
round 2"
"1607603465-176","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/50933/80416","Wladimir Klitschko","Derrick Jefferson","won TKO","orthodox","24","6′ 6″   /   198cm","81″   /   206cm","35","1","0","31","","","33","orthodox","82″   /   208cm","6′ 6″   /   198cm","23","2","1","19","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 2"
"1607603498-186","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/444584/922989","Wladimir Klitschko","Eliseo Castillo","won TKO","orthodox","29","6′ 6″   /   198cm","81″   /   206cm","43","3","0","38","","","29","orthodox","","6′ 2″   /   188cm","18","0","1","14","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 4"
"1607603533-196","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/591838/1476253","Wladimir Klitschko","Eddie Chambers","won KO","orthodox","33","6′ 6″   /   198cm","81″   /   206cm","53","3","0","46","","","27","orthodox","75″   /   191cm","6′ 1″   /   185cm","35","1","0","18","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 12"
"1607603397-155","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8098/12268","Wladimir Klitschko","Derrick Lampkins","won TKO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","15","0","0","","37.80
points",".073
points","orthodox","6′ 5″   /   196cm","","78″   /   198cm","9","3","1","","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 1"
"1607603472-178","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/142681/267493","Wladimir Klitschko","Frans Botha","won TKO","orthodox","25","6′ 6″   /   198cm","81″   /   206cm","37","1","0","33","","","33","orthodox","74″   /   188cm","6′ 2″   /   188cm","44","3","1","28","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 8"
"1607603423-163","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8505/12945","Wladimir Klitschko","Donnell Wingfield","won KO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","23","0","0","","56.65
points",".042
points","orthodox","6′ 1″   /   185cm","","73″   /   185cm","29","9","1","","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1"
"1607603446-170","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8869/13548","Wladimir Klitschko","Phil Jackson","won KO","orthodox","23","6′ 6″   /   198cm","81″   /   206cm","29","1","0","26","","","35","orthodox","79″   /   201cm","6′ 1″   /   185cm","43","8","0","39","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2"
"1607603394-154","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8078/12244","Wladimir Klitschko","Ladislav Husarik","won TKO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","14","0","0","","37.41
points",".178
points","","","","","4","13","1","","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3"
"1607603559-204","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/686683/1865574","Wladimir Klitschko","Alex Leapai","won TKO","orthodox","38","6′ 6″   /   198cm","81″   /   206cm","61","3","0","51","","132","34","orthodox","75″   /   190cm","6′ 0″   /   183cm","30","4","3","24","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 5"
"1607603549-201","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/651188/1728572","Wladimir Klitschko","Mariusz Wach","won UD","orthodox","36","6′ 6″   /   198cm","81″   /   206cm","58","3","0","50","","39","32","orthodox","82″   /   208cm","6′ 7½″   /   202cm","27","0","0","15","Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12"
"1607603453-172","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/9955/24703","Paea Wolfgramm","Wladimir Klitschko","won KO","orthodox","30","6′ 4½″   /   194cm","79½″   /   202cm","18","1","0","13","","","23","orthodox","81″   /   206cm","6′ 6″   /   198cm","31","1","0","28","Paea Wolfgramm"
"1607603433-166","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8681/13245","Wladimir Klitschko","Everett Martin","won TKO","orthodox","23","6′ 6″   /   198cm","81″   /   206cm","25","1","0","22","","","34","orthodox","72″   /   183cm","5′ 11½″   /   182cm","20","29","1","9","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 8"
"1607603546-200","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/640437/1684641","Wladimir Klitschko","Tony Thompson","won TKO","orthodox","36","6′ 6″   /   198cm","81″   /   206cm","57","3","0","49","","","40","southpaw","81½″   /   207cm","6′ 5″   /   196cm","36","2","0","24","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6"
"1607603417-161","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8429/12813","Wladimir Klitschko","Steve Pannell","won KO","orthodox","22","6′ 6″   /   198cm","81″   /   206cm","21","0","0","18","","","31","orthodox","76″   /   193cm","6′ 4″   /   193cm","33","4","0","27","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2"
