f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,f_boxer_ranking,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,s_boxer_ranking,matchRounds,fightEnd,winner
Wladimir Klitschko,Eli Dixon,won,22,198,206.0,22,0,19,6,32,188.0,201.0,21,4,14,24,3.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Derrick Jefferson,won,24,198,206.0,35,1,31,6,33,198.0,208.0,23,2,19,24,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Eliseo Castillo,won,29,198,206.0,43,3,38,6,29,188.0,199.414634146341,18,0,14,24,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Eddie Chambers,won,33,198,206.0,53,3,46,6,27,185.0,191.0,35,1,18,24,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Frans Botha,won,25,198,206.0,37,1,33,6,33,188.0,188.0,44,3,28,24,8.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Phil Jackson,won,23,198,206.0,29,1,26,6,35,185.0,201.0,43,8,39,24,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Alex Leapai,won,38,198,206.0,61,3,51,6,34,183.0,190.0,30,4,24,5,5.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Mariusz Wach,won,36,198,206.0,58,3,50,6,32,202.0,208.0,27,0,15,15,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Everett Martin,won,23,198,206.0,25,1,22,6,34,182.0,183.0,20,29,9,24,8.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Tony Thompson,won,36,198,206.0,57,3,49,6,40,196.0,207.0,36,2,24,24,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Steve Pannell,won,22,198,206.0,21,0,18,6,31,193.0,193.0,33,4,27,24,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Fabian Meza,won,20,198,206.0,0,0,0,6,27,187.0,188.0,4,1,1,24,1.0,KO/TKO,Wladimir Klitschko
Lamon Brewster,Wladimir Klitschko,won,30,188,196.0,29,2,26,6,28,198.0,206.0,42,2,38,24,5.0,KO/TKO,Lamon Brewster
Wladimir Klitschko,Troy Weida,won,20,198,206.0,3,0,3,6,24,191.0,191.0,6,1,6,24,3.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Lajos Eros,won,23,198,206.0,30,1,27,6,35,187.0,188.0,21,8,11,24,2.0,KO/TKO,Wladimir Klitschko
Corrie Sanders,Wladimir Klitschko,won,37,193,196.0,38,2,28,6,26,198.0,206.0,40,1,36,24,2.0,KO/TKO,Corrie Sanders
Wladimir Klitschko,Bill Corrigan,won,20,198,206.0,2,0,2,6,33,193.0,193.0,10,12,7,24,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Fabio Eduardo Moli,won,27,198,206.0,40,2,36,6,34,194.0,199.414634146341,29,2,17,24,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,DaVarryl Williamson,won,28,198,206.0,42,3,38,6,36,193.0,203.0,20,2,17,24,5.0,Unknown,Wladimir Klitschko
Wladimir Klitschko,Danell Nicholson,won,27,198,206.0,41,2,37,6,36,193.0,203.0,42,4,32,24,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Tony LaRosa,won,23,198,206.0,26,1,23,6,31,178.0,183.0,31,15,18,24,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Cody Koch,won,22,198,206.0,18,0,15,6,25,188.0,188.0,25,1,21,24,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Ray Austin,won,30,198,206.0,47,3,41,6,36,198.0,203.0,24,3,16,12,2.0,KO/TKO,Wladimir Klitschko
