f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,matchRounds,fightEnd,winner
Wladimir Klitschko,Fabian Meza,won,20.0,198,206.0,0,0,0.0,27.0,187.0,188.0,4,1,1.0,1.0,KO/TKO,Wladimir Klitschko
Lamon Brewster,Wladimir Klitschko,won,30.0,188,196.0,29,2,26.0,28.0,198.0,206.0,42,2,38.0,5.0,KO/TKO,Lamon Brewster
Wladimir Klitschko,Troy Weida,won,20.0,198,206.0,3,0,3.0,24.0,191.0,191.0,6,1,6.0,3.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Lajos Eros,won,23.0,198,206.0,30,1,27.0,35.0,187.0,188.0,21,8,11.0,2.0,KO/TKO,Wladimir Klitschko
Corrie Sanders,Wladimir Klitschko,won,37.0,193,196.0,38,2,28.0,26.0,198.0,206.0,40,1,36.0,2.0,KO/TKO,Corrie Sanders
Wladimir Klitschko,Bill Corrigan,won,20.0,198,206.0,2,0,2.0,33.0,193.0,193.0,10,12,7.0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Fabio Eduardo Moli,won,27.0,198,206.0,40,2,36.0,34.0,194.0,199.414634146341,29,2,17.0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,DaVarryl Williamson,won,28.0,198,206.0,42,3,38.0,36.0,193.0,203.0,20,2,17.0,5.0,Unknown,Wladimir Klitschko
Wladimir Klitschko,Danell Nicholson,won,27.0,198,206.0,41,2,37.0,36.0,193.0,203.0,42,4,32.0,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Tony LaRosa,won,23.0,198,206.0,26,1,23.0,31.0,178.0,183.0,31,15,18.0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Cody Koch,won,22.0,198,206.0,18,0,15.0,25.0,188.0,188.0,25,1,21.0,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Ray Austin,won,30.0,198,206.0,47,3,41.0,36.0,198.0,203.0,24,3,16.0,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Lamon Brewster,won,31.0,198,206.0,48,3,42.0,34.0,188.0,196.0,33,3,29.0,6.0,RTD,Wladimir Klitschko
Wladimir Klitschko,David Bostice,won,24.0,198,206.0,32,1,29.0,28.0,196.0,193.0,22,1,12.0,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Samuel Peter,won,34.0,198,206.0,54,3,47.0,30.0,188.0,196.0,34,3,27.0,0.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Chris Byrd,won,24.0,198,206.0,34,1,31.0,30.0,188.0,188.0,31,1,19.0,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Charles Shufford,won,25.0,198,206.0,36,1,32.0,28.0,191.0,203.0,17,1,9.0,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Mark Wills,won,21.0,198,206.0,6,0,5.0,36.0,185.0,188.0,14,17,9.0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Hasim Rahman,won,32.0,198,206.0,51,3,44.0,36.0,189.0,208.0,45,6,36.0,7.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Zoran Vujicic,won,22.0,198,206.0,24,1,21.0,37.0,193.0,198.0,14,0,6.0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Joseph Chingangu,won,23.0,198,206.0,27,1,24.0,32.0,192.0,198.0,18,4,13.0,4.0,RTD,Wladimir Klitschko
Wladimir Klitschko,Ruslan Chagaev,won,33.0,198,206.0,52,3,45.0,30.0,185.0,188.0,25,0,17.0,9.0,RTD,Wladimir Klitschko
